Country Code;Country;Item Code;Item;Element Code;Element;Unit;Y1961;Y1961F;Y1962;Y1962F;Y1963;Y1963F;Y1964;Y1964F;Y1965;Y1965F;Y1966;Y1966F;Y1967;Y1967F;Y1968;Y1968F;Y1969;Y1969F;Y1970;Y1970F;Y1971;Y1971F;Y1972;Y1972F;Y1973;Y1973F;Y1974;Y1974F;Y1975;Y1975F;Y1976;Y1976F;Y1977;Y1977F;Y1978;Y1978F;Y1979;Y1979F;Y1980;Y1980F;Y1981;Y1981F;Y1982;Y1982F;Y1983;Y1983F;Y1984;Y1984F;Y1985;Y1985F;Y1986;Y1986F;Y1987;Y1987F;Y1988;Y1988F;Y1989;Y1989F;Y1990;Y1990F;Y1991;Y1991F;Y1992;Y1992F;Y1993;Y1993F;Y1994;Y1994F;Y1995;Y1995F;Y1996;Y1996F;Y1997;Y1997F;Y1998;Y1998F;Y1999;Y1999F;Y2000;Y2000F;Y2001;Y2001F;Y2002;Y2002F;Y2003;Y2003F;Y2004;Y2004F;Y2005;Y2005F;Y2006;Y2006F;Y2007;Y2007F;Y2008;Y2008F;Y2009;Y2009F;Y2010;Y2010F;Y2011;Y2011F;Y2012;Y2012F;Y2013;Y2013F
2;Afghanistan;1632;Sawnwood (C);5516;Production;m3;150000.00;Q;150000.00;Q;165000.00;Q;190000.00;Q;200000.00;Q;240000.00;Q;250000.00;Q;275000.00;Q;300000.00;Q;335000.00;Q;345000.00;Q;305000.00;Q;360000.00;F;360000.00;F;310000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;F;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Ft;380000.00;Fp;380000.00;Fp;380000.00;Fp;380000.00;Fp;380000.00;Fp;380000.00;Fp;380000.00;Fp;380000.00;Fp
2;Afghanistan;1632;Sawnwood (C);5616;Import Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.00;Q;35.00;Q;1900.00;Q;805.00;Q;684.00;Q;484.00;X;0.00;X;60700.00;X;115100.00;X;222400.00;X;229000.00;X;295100.00;X;323100.00;X;216700.00;X;364200.00;X;366900.00;X;451000.00;X;348000.00;X;307000.00;X
2;Afghanistan;1632;Sawnwood (C);5622;Import Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.00;Q;4.00;Q;185.00;Q;65.00;Q;29.00;Q;38.00;X;0.00;X;7302.00;X;10882.00;X;21308.00;X;25169.00;X;37928.00;X;52057.00;X;40530.00;X;58556.00;X;58642.00;X;81596.00;X;64121.00;W;56414.00;W
2;Afghanistan;1632;Sawnwood (C);5916;Export Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;Q;314.00;Q;314.00;Ft;2.00;Q;2.00;Ft;2.00;Ft;10.00;Q;444.00;F;444.00;Ft;444.00;Ft;1.00;X;662.00;X;2.00;X;2.00;Fp;2.00;Fp;2.00;Fp;2.00;Fp;2.00;Fp
2;Afghanistan;1632;Sawnwood (C);5922;Export Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;Q;51.00;Q;51.00;Ft;1.00;Q;1.00;Ft;1.00;Ft;2.00;Q;146.00;F;146.00;Ft;146.00;Ft;0.00;X;135.00;X;1.00;X;1.00;Fp;1.00;Fp;1.00;Fp;1.00;Fp;1.00;Fp
3;Albania;1632;Sawnwood (C);5516;Production;m3;85000.00;Q;85000.00;Q;80000.00;Q;75000.00;Q;77000.00;Q;105000.00;Q;105000.00;Q;105000.00;Q;105000.00;Q;105000.00;F;105000.00;F;105000.00;F;105000.00;F;105000.00;F;105000.00;F;105000.00;F;105000.00;Q;105000.00;Q;105000.00;Q;105000.00;Q;105000.00;Q;105000.00;Q;105000.00;F;105000.00;F;105000.00;F;105000.00;F;105000.00;F;105000.00;F;105000.00;F;86000.00;Q;86000.00;F;86000.00;Ft;1300.00;Q;1700.00;Q;1700.00;Ft;1700.00;Ft;1700.00;Ft;9000.00;Q;15000.00;Q;47000.00;Q;47000.00;F;47000.00;F;47000.00;F;47000.00;F;47000.00;F;47000.00;F;4000.00;X;4000.00;F;4000.00;F;4000.00;F;4000.00;F;4000.00;F;4000.00;F
3;Albania;1632;Sawnwood (C);5616;Import Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5859.00;Q;9323.00;Q;12000.00;Q;12000.00;Ft;31.00;Q;1276.00;Q;12000.00;F;12000.00;F;12000.00;F;35300.00;Q;7759.00;W;20478.00;W;20478.00;F;20478.00;F;20478.00;F;20478.00;F;20478.00;F;20478.00;F;20478.00;F;89908.00;X;72800.00;X;72800.00;F
3;Albania;1632;Sawnwood (C);5622;Import Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;861.00;Q;1375.00;Q;2654.00;Q;2654.00;Ft;5.00;Q;93.00;Q;2650.00;Q;1110.00;Q;518.00;F;6028.00;Q;1125.00;W;2969.00;W;2969.00;F;2969.00;F;2969.00;F;2969.00;F;2969.00;F;2969.00;F;2969.00;F;16457.00;W;11897.00;W;11897.00;F
3;Albania;1632;Sawnwood (C);5916;Export Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120.00;Q;51.00;Q;6200.00;Q;6200.00;Ft;104.00;Q;2013.00;Q;6000.00;F;5900.00;F;5900.00;F;79500.00;Q;7671.00;W;12252.00;W;12252.00;F;12252.00;F;12252.00;F;12252.00;F;12252.00;F;12252.00;F;12252.00;F;1000.00;W;546.00;X;550.00;F
3;Albania;1632;Sawnwood (C);5922;Export Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.00;Q;6.00;Q;3818.00;Q;3818.00;Ft;12.00;Q;234.00;Q;156.00;Q;100.00;Q;1242.00;F;13434.00;Q;1089.00;W;1740.00;W;1740.00;F;1740.00;F;1740.00;F;1740.00;F;1740.00;F;1740.00;F;1740.00;F;97.00;W;34.00;W;34.00;F
